iter	Logloss
0	0.5860567593
1	0.5013356251
2	0.4336841989
3	0.3826069132
4	0.3452978031
5	0.3166124785
6	0.2959142658
7	0.2801896699
8	0.2683392505
9	0.2591057108
10	0.2506593165
11	0.2445991325
12	0.2394446001
13	0.2359977131
14	0.2330889794
15	0.2301600434
16	0.2282662084
17	0.2261382992
18	0.2248414081
19	0.2234683958
20	0.2222680729
21	0.2209346811
22	0.2204079482
23	0.2195432917
24	0.2189963294
25	0.2181678452
26	0.2178946093
27	0.2173159807
28	0.2168368745
29	0.2166128763
30	0.216209468
31	0.215363106
32	0.2149003844
33	0.2144437096
34	0.2139613078
35	0.2136976376
36	0.213441023
37	0.213186283
38	0.2130276218
39	0.2124174511
40	0.2121884446
41	0.2120031752
42	0.2116078484
43	0.2112616403
44	0.2111186789
45	0.2108927703
46	0.2106949918
47	0.2104801368
48	0.2103152381
49	0.210068482
50	0.2097031282
51	0.2095561466
52	0.2092967451
53	0.2090381514
54	0.2088272484
55	0.2086659565
56	0.2084956983
57	0.2083459976
58	0.208231783
59	0.2080721939
60	0.2079025508
61	0.2077725672
62	0.2075823269
63	0.2074286823
64	0.2072388329
65	0.207138894
66	0.2068948006
67	0.2067551418
68	0.2066358102
69	0.2064373671
70	0.2060648073
71	0.2058947417
72	0.205689005
73	0.2055016639
74	0.2053475522
75	0.2050457737
76	0.2049577194
77	0.2048955973
78	0.2047424359
79	0.204666904
80	0.2044721265
81	0.2043895693
82	0.2042767709
83	0.2041192064
84	0.2038489344
85	0.203616393
86	0.2034473187
87	0.2031541303
88	0.2029154077
89	0.2027619544
90	0.2026441557
91	0.2025073262
92	0.2023711164
93	0.2022090801
94	0.202103386
95	0.2019657928
96	0.2018980193
97	0.2018006033
98	0.2017350893
99	0.2015864066
