iter	Passed	Remaining
0	6	677
1	12	611
2	18	585
3	24	580
4	30	578
5	36	568
6	42	562
7	47	551
8	54	550
9	61	551
10	67	544
11	73	537
12	79	530
13	85	525
14	91	518
15	97	513
16	103	505
17	109	499
18	115	493
19	123	492
20	130	489
21	135	481
22	141	474
23	148	470
24	155	465
25	161	459
26	167	454
27	174	448
28	180	442
29	186	435
30	192	427
31	198	420
32	203	413
33	209	407
34	215	399
35	221	394
36	227	387
37	233	381
38	239	374
39	245	367
40	251	361
41	256	354
42	262	348
43	268	341
44	274	335
45	280	328
46	285	322
47	291	315
48	297	309
49	302	302
50	308	296
51	314	290
52	320	283
53	326	277
54	332	272
55	338	265
56	344	259
57	350	253
58	356	247
59	363	242
60	369	235
61	375	230
62	382	224
63	387	218
64	393	211
65	400	206
66	405	199
67	411	193
68	417	187
69	422	181
70	428	175
71	434	169
72	441	163
73	447	157
74	453	151
75	459	145
76	465	138
77	472	133
78	477	127
79	483	120
80	489	114
81	494	108
82	500	102
83	506	96
84	511	90
85	517	84
86	524	78
87	530	72
88	537	66
89	544	60
90	550	54
91	557	48
92	563	42
93	570	36
94	576	30
95	582	24
96	588	18
97	594	12
98	601	6
99	607	0
